Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
NIFTYNXT50,72430.0,-0.35,11100.0,0.23,,,,,,,,,350.0,-94.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
TATASTEEL,184.5,-0.51,139675250.0,0.94,,,,,,,,,2070750.0,-94.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
LAURUSLABS,1735.1,0.71,16623450.0,1.13,,,,,,,,,678300.0,-94.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
DRREDDY,1144.9,-0.3,12960000.0,1.25,,,,,,,,,321875.0,-94.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
JINDALSTEL,1062.7,-0.65,10683750.0,1.76,,,,,,,,,303125.0,-94.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
ASTRAL,1425.5,-0.34,7067750.0,-0.08,,,,,,,,,172550.0,-94.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Long Unwinding
BIOCON,437.85,-0.3,42180000.0,0.8,,,,,,,,,757500.0,-94.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
YESBANK,22.98,-0.52,896861800.0,1.27,,,,,,,,,16296400.0,-95.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
AUROPHARMA,1557.3,-0.08,9163550.0,0.98,,,,,,,,,140250.0,-95.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
ASHOKLEY,155.82,-0.2,126355000.0,0.95,,,,,,,,,2680000.0,-95.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
ADANIPORTS,1778.0,-0.25,17331800.0,0.82,,,,,,,,,234650.0,-95.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
